tenorA257Atk, 0, 667, 1953, 3699, 5709, 7771, 9679, 11257, 12381, 12992, 13100, 12786, 12192, 11498, 10907, 10616, 10792, 11549, 12937, 14929, 17427, 20267, 23239, 26110, 28649, 30652, 31967, 32509, 32271, 31323, 29808, 27919, 25881, 23926, 22264, 21061, 20419, 20370, 20868, 21799, 22996, 24259, 25378, 26162, 26460, 26180, 25299, 23867, 22003, 19875, 17689, 15658, 13980, 12817, 12274, 12389, 13127, 14389, 16019, 17828, 19608, 21165, 22334, 22999, 23106, 22664, 21746, 20477, 19016, 17539, 16215, 15189, 14564, 14387, 14651, 15291, 16198, 17229, 18229, 19045, 19550, 19654, 19314, 18541, 17395, 15980, 14428, 12887, 11502, 10400, 9674, 9377, 9517, 10055, 10919, 12005, 13198, 14382, 15454, 16337, 16987, 17393, 17582, 17610, 17553, 17495, 17523, 17706, 18095, 18714, 19554, 20581, 21735, 22944, 24124, 25196, 26093, 26765, 27182, 27342, 27262, 26979, 26543, 26007, 25425, 24842, 24291, 23790, 23341, 22934, 22547, 22155, 21730, 21250, 20702, 20082, 19397, 18665, 17913, 17170, 16466, 15827, 15275, 14818, 14460, 14193, 14004, 13876, 13790, 13733, 13695, 13673, 13673, 13705, 13785, 13928, 14150, 14456, 14850, 15320, 15848, 16408, 16967, 17490, 17944, 18303, 18550, 18680, 18700, 18630, 18500, 18345, 18202, 18106, 18083, 18148, 18303, 18535, 18821, 19127, 19413, 19641, 19777, 19797, 19691, 19465, 19140, 18750, 18340, 17960, 17658, 17475, 17444, 17579, 17877, 18319, 18871, 19485, 20110, 20692, 21184, 21549, 21767, 21833, 21759, 21573, 21314, 21028, 20762, 20556, 20442, 20436, 20538, 20733, 20991, 21271, 21524, 21705, 21769, 21686, 21436, 21017, 20445, 19750, 18972, 18161, 17369, 16643, 16023, 15538, 15201, 15011, 14950, 14993, 15103, 15242, 15371, 15460, 15486, 15438, 15319, 15144, 14937, 14731, 14562, 14464, 14466, 14591, 14848, 15237, 15743, 16342, 17002, 17685, 18355, 18974, 19512, 
tenorA257Rls, 0, 50, 851, 2365, 4490, 7066, 9902, 12788, 15525, 17940, 19909, 21362, 22293, 22755, 22849, 22713, 22501, 22362, 22427, 22787, 23488, 24523, 25836, 27327, 28866, 30310, 31518, 32367, 32767, 32668, 32069, 31012, 29579, 27883, 26053, 24220, 22504, 21006, 19794, 18901, 18326, 18038, 17981, 18084, 18274, 18479, 18646, 18736, 18734, 18646, 18496, 18319, 18155, 18045, 18018, 18093, 18272, 18542, 18875, 19233, 19577, 19864, 20063, 20152, 20123, 19984, 19757, 19474, 19172, 18892, 18668, 18526, 18480, 18530, 18662, 18853, 19069, 19276, 19440, 19535, 19543, 19458, 19290, 19055, 18783, 18506, 18257, 18066, 17955, 17936, 18008, 18160, 18371, 18612, 18851, 19059, 19209, 19283, 19275, 19186, 19028, 18823, 18595, 18370, 18174, 18025, 17934, 17906, 17932, 18000, 18089, 18177, 18243, 18267, 18237, 18147, 18001, 17808, 17585, 17353, 17133, 16945, 16804, 16723, 16703, 16742, 16832, 16958, 17105, 17257, 17402, 17530, 17637, 17724, 17798, 17867, 17945, 18042, 18168, 18330, 18530, 18763, 19021, 19294, 19566, 19822, 20051, 20241, 20388, 20489, 20549, 20575, 20577, 20565, 20551, 20540, 20537, 20540, 20545, 20542, 20521, 20470, 20378, 20238, 20045, 19803, 19519, 19204, 18874, 18548, 18242, 17973, 17752, 17585, 17471, 17407, 17379, 17375, 17379, 17374, 17349, 17294, 17209, 17095, 16963, 16826, 16702, 16608, 16561, 16573, 16652, 16797, 17002, 17253, 17533, 17819, 18089, 18321, 18498, 18608, 18647, 18617, 18529, 18398, 18245, 18091, 17958, 17863, 17820, 17834, 17905, 18026, 18181, 18353, 18522, 18668, 18773, 18826, 18819, 18755, 18642, 18494, 18333, 18182, 18063, 17999, 18007, 18099, 18277, 18537, 18867, 19247, 19654, 20060, 20440, 20767, 21024, 21198, 21283, 21284, 21211, 21083, 20922, 20750, 20592, 20466, 20385, 20356, 20376, 20434, 20510, 20580, 20618, 20594, 20486, 20274, 19950
tenorE257Atk, 0, 206, 817, 1751, 2913, 4196, 5498, 6728, 7813, 8702, 9371, 9820, 10071, 10165, 10155, 10096, 10044, 10046, 10136, 10330, 10629, 11014, 11452, 11898, 12302, 12615, 12794, 12806, 12637, 12291, 11795, 11191, 10542, 9921, 9407, 9075, 8995, 9218, 9773, 10663, 11863, 13320, 14957, 16678, 18374, 19936, 21259, 22257, 22866, 23050, 22809, 22176, 21212, 20007, 18666, 17304, 16032, 14950, 14138, 13648, 13501, 13688, 14168, 14876, 15731, 16643, 17525, 18298, 18901, 19298, 19475, 19447, 19249, 18932, 18558, 18189, 17880, 17673, 17590, 17632, 17777, 17983, 18196, 18354, 18392, 18258, 17913, 17338, 16540, 15551, 14423, 13228, 12049, 10971, 10075, 9428, 9077, 9044, 9322, 9881, 10663, 11593, 12586, 13549, 14397, 15054, 15464, 15592, 15428, 14985, 14299, 13424, 12425, 11373, 10337, 9381, 8558, 7904, 7439, 7169, 7079, 7147, 7339, 7617, 7941, 8278, 8597, 8877, 9108, 9287, 9422, 9526, 9615, 9710, 9828, 9983, 10183, 10430, 10718, 11034, 11358, 11666, 11932, 12132, 12242, 12247, 12136, 11912, 11584, 11175, 10716, 10244, 9803, 9437, 9188, 9094, 9180, 9462, 9940, 10599, 11411, 12333, 13313, 14293, 15215, 16023, 16669, 17119, 17353, 17370, 17186, 16830, 16347, 15789, 15213, 14673, 14217, 13883, 13694, 13657, 13764, 13994, 14313, 14684, 15064, 15415, 15707, 15919, 16043, 16084, 16057, 15990, 15912, 15855, 15847, 15909, 16050, 16268, 16547, 16861, 17173, 17444, 17632, 17702, 17627, 17393, 17000, 16464, 15814, 15092, 14347, 13631, 12995, 12481, 12124, 11942, 11939, 12103, 12409, 12819, 13291, 13777, 14231, 14615, 14896, 15054, 15079, 14975, 14754, 14437, 14050, 13621, 13177, 12744, 12340, 11979, 11669, 11412, 11205, 11040, 10911, 10808, 10725, 10655, 10596, 10548, 10510, 10487, 10482, 10500, 10543, 10615, 10715, 10843, 10995, 11166, 11351, 
tenorE257Rls, 0, 251, 980, 2170, 3764, 5668, 7758, 9888, 11902, 13651, 14997, 15839, 16110, 15794, 14924, 13581, 11888, 9998, 8082, 6312, 4848, 3818, 3312, 3368, 3974, 5069, 6549, 8280, 10109, 11887, 13479, 14781, 15731, 16311, 16552, 16528, 16343, 16120, 15987, 16054, 16406, 17083, 18080, 19344, 20774, 22236, 23578, 24643, 25292, 25418, 24964, 23929, 22374, 20419, 18231, 16012, 13978, 12337, 11270, 10912, 11335, 12542, 14463, 16962, 19851, 22903, 25875, 28531, 30662, 32108, 32767, 32604, 31657, 30022, 27850, 25324, 22646, 20015, 17606, 15560, 13972, 12883, 12284, 12121, 12305, 12723, 13256, 13791, 14232, 14511, 14592, 14471, 14177, 13759, 13282, 12816, 12425, 12159, 12049, 12103, 12305, 12620, 12998, 13380, 13711, 13939, 14030, 13964, 13744, 13388, 12933, 12424, 11913, 11449, 11073, 10817, 10696, 10709, 10842, 11069, 11356, 11665, 11961, 12216, 12408, 12527, 12575, 12562, 12505, 12424, 12340, 12271, 12229, 12218, 12237, 12276, 12323, 12363, 12380, 12364, 12309, 12216, 12092, 11952, 11812, 11692, 11611, 11583, 11619, 11720, 11881, 12093, 12339, 12600, 12857, 13094, 13297, 13461, 13584, 13673, 13737, 13788, 13839, 13900, 13979, 14075, 14184, 14295, 14395, 14466, 14493, 14466, 14377, 14229, 14032, 13804, 13571, 13360, 13201, 13120, 13137, 13265, 13502, 13837, 14249, 14706, 15172, 15607, 15976, 16248, 16403, 16429, 16331, 16124, 15832, 15487, 15125, 14780, 14481, 14250, 14099, 14028, 14030, 14084, 14167, 14254, 14318, 14340, 14306, 14213, 14067, 13881, 13677, 13481, 13318, 13212, 13179, 13227, 13354, 13550, 13791, 14052, 14298, 14496, 14618, 14639, 14543, 14326, 13994, 13563, 13060, 12515, 11962, 11437, 10972, 10591, 10314, 10149, 10098, 10153, 10299, 10517, 10783, 11073, 11366, 11640, 11879, 12070, 12206, 12284, 12303, 12268, 12184, 12061, 11906, 11730, 11542
tenorI257Atk, 0, 198, 943, 2139, 3649, 5309, 6954, 8427, 9606, 10406, 10795, 10787, 10444, 9862, 9158, 8455, 7868, 7487, 7371, 7540, 7974, 8617, 9390, 10194, 10933, 11520, 11890, 12009, 11880, 11539, 11052, 10509, 10011, 9655, 9530, 9699, 10192, 11006, 12101, 13405, 14823, 16243, 17554, 18653, 19455, 19908, 19990, 19719, 19144, 18343, 17416, 16470, 15614, 14943, 14533, 14431, 14654, 15186, 15983, 16978, 18086, 19218, 20286, 21213, 21941, 22436, 22686, 22707, 22536, 22224, 21836, 21434, 21078, 20816, 20678, 20677, 20803, 21031, 21321, 21624, 21890, 22074, 22140, 22070, 21862, 21533, 21119, 20666, 20230, 19870, 19635, 19564, 19680, 19982, 20448, 21036, 21684, 22324, 22878, 23276, 23459, 23387, 23044, 22438, 21606, 20607, 19517, 18422, 17409, 16558, 15931, 15568, 15483, 15660, 16058, 16613, 17246, 17873, 18411, 18790, 18959, 18890, 18584, 18067, 17386, 16605, 15797, 15032, 14374, 13867, 13536, 13382, 13379, 13487, 13647, 13797, 13877, 13837, 13645, 13290, 12787, 12170, 11494, 10824, 10229, 9773, 9504, 9450, 9616, 9978, 10488, 11081, 11676, 12192, 12555, 12705, 12605, 12247, 11651, 10865, 9959, 9015, 8122, 7364, 6811, 6508, 6476, 6706, 7162, 7783, 8496, 9219, 9874, 10395, 10735, 10871, 10805, 10565, 10198, 9766, 9334, 8966, 8713, 8611, 8671, 8886, 9226, 9645, 10090, 10502, 10832, 11041, 11109, 11038, 10847, 10576, 10278, 10009, 9827, 9780, 9901, 10202, 10677, 11295, 12011, 12767, 13499, 14145, 14654, 14989, 15134, 15093, 14890, 14568, 14180, 13786, 13444, 13205, 13105, 13163, 13383, 13747, 14225, 14775, 15352, 15909, 16406, 16816, 17122, 17321, 17425, 17455, 17438, 17406, 17387, 17403, 17469, 17589, 17756, 17956, 18170, 18374, 18546, 18670, 18733, 18734, 18680, 18584, 18465, 18348, 18254, 18203, 18210, 18282, 18416, 18605, 18834, 
tenorI257Rls, 0, 391, 1355, 2810, 4625, 6623, 8607, 10379, 11759, 12609, 12847, 12457, 11489, 10058, 8328, 6493, 4758, 3314, 2315, 1865, 2001, 2695, 3853, 5334, 6962, 8550, 9925, 10949, 11532, 11650, 11343, 10709, 9895, 9073, 8422, 8100, 8224, 8851, 9974, 11514, 13331, 15242, 17036, 18507, 19479, 19823, 19485, 18488, 16938, 15009, 12931, 10962, 9359, 8346, 8094, 8692, 10141, 12348, 15138, 18270, 21462, 24424, 26892, 28650, 29561, 29579, 28753, 27219, 25187, 22916, 20679, 18737, 17309, 16543, 16508, 17183, 18462, 20173, 22098, 24003, 25664, 26900, 27591, 27694, 27246, 26360, 25207, 23994, 22937, 22231, 22024, 22395, 23345, 24792, 26580, 28499, 30304, 31751, 32626, 32767, 32092, 30609, 28418, 25702, 22708, 19723, 17040, 14928, 13599, 13189, 13737, 15184, 17377, 20087, 23032, 25908, 28419, 30309, 31391, 31557, 30796, 29185, 26882, 24105, 21106, 18145, 15461, 13249, 11639, 10691, 10390, 10652, 11341, 12288, 13312, 14240, 14932, 15290, 15269, 14880, 14180, 13266, 12258, 11281, 10450, 9855, 9549, 9547, 9821, 10310, 10927, 11573, 12150, 12574, 12788, 12764, 12509, 12062, 11488, 10867, 10284, 9819, 9531, 9459, 9610, 9962, 10468, 11060, 11662, 12198, 12601, 12823, 12840, 12656, 12299, 11820, 11283, 10760, 10318, 10016, 9892, 9963, 10222, 10641, 11175, 11766, 12355, 12884, 13308, 13597, 13740, 13746, 13638, 13454, 13240, 13040, 12894, 12834, 12875, 13020, 13257, 13561, 13900, 14240, 14548, 14798, 14972, 15068, 15093, 15064, 15007, 14952, 14929, 14963, 15070, 15259, 15526, 15858, 16235, 16631, 17016, 17365, 17655, 17872, 18010, 18070, 18063, 18004, 17911, 17806, 17708, 17631, 17586, 17581, 17615, 17687, 17791, 17920, 18069, 18232, 18404, 18584, 18770, 18961, 19153, 19342, 19523, 19685, 19820, 19915, 19960, 19947, 19874, 19740, 19554, 19329, 19082
tenorU257Atk, 0, 198, 907, 2092, 3668, 5505, 7448, 9328, 10985, 12284, 13130, 13478, 13341, 12784, 11920, 10893, 9867, 9002, 8438, 8278, 8578, 9341, 10512, 11992, 13644, 15310, 16831, 18063, 18894, 19258, 19141, 18581, 17666, 16522, 15300, 14156, 13239, 12666, 12519, 12827, 13571, 14684, 16059, 17562, 19049, 20382, 21444, 22151, 22464, 22389, 21977, 21319, 20530, 19741, 19079, 18655, 18551, 18812, 19440, 20397, 21607, 22968, 24362, 25671, 26786, 27623, 28129, 28286, 28115, 27667, 27023, 26275, 25522, 24857, 24355, 24063, 24003, 24163, 24503, 24960, 25458, 25913, 26245, 26388, 26297, 25947, 25343, 24513, 23504, 22379, 21206, 20053, 18981, 18035, 17243, 16613, 16134, 15779, 15509, 15278, 15039, 14751, 14382, 13912, 13336, 12663, 11912, 11116, 10308, 9527, 8807, 8176, 7654, 7253, 6971, 6802, 6730, 6735, 6795, 6888, 6996, 7102, 7198, 7279, 7345, 7400, 7451, 7507, 7576, 7666, 7783, 7931, 8113, 8329, 8577, 8856, 9162, 9492, 9840, 10203, 10575, 10951, 11325, 11691, 12043, 12373, 12678, 12952, 13194, 13402, 13581, 13733, 13867, 13990, 14112, 14243, 14391, 14563, 14761, 14988, 15240, 15512, 15795, 16082, 16361, 16623, 16862, 17073, 17253, 17405, 17535, 17649, 17757, 17870, 17997, 18149, 18330, 18546, 18796, 19079, 19389, 19718, 20059, 20401, 20735, 21053, 21347, 21613, 21848, 22049, 22219, 22360, 22474, 22567, 22642, 22706, 22761, 22813, 22863, 22914, 22966, 23018, 23065, 23105, 23130, 23133, 23106, 23040, 22927, 22760, 22535, 22251, 21909, 21514, 21077, 20609, 20123, 19636, 19162, 18713, 18299, 17924, 17588, 17285, 17005, 16732, 16451, 16146, 15801, 15407, 14957, 14454, 13907, 13330, 12744, 12172, 11641, 11172, 10785, 10492, 10296, 10194, 10172, 10211, 10284, 10366, 10428, 10450, 10416, 10318, 10159, 9952, 9716, 9479, 9268, 9114, 9040, 
tenorU257Rls, 0, 290, 999, 2011, 3183, 4360, 5391, 6151, 6549, 6545, 6147, 5415, 4452, 3391, 2382, 1571, 1089, 1033, 1458, 2372, 3731, 5453, 7419, 9494, 11536, 13415, 15028, 16305, 17219, 17784, 18058, 18126, 18097, 18086, 18202, 18536, 19150, 20070, 21285, 22750, 24388, 26103, 27789, 29340, 30666, 31697, 32392, 32741, 32767, 32516, 32057, 31471, 30839, 30238, 29727, 29350, 29122, 29040, 29076, 29187, 29319, 29416, 29424, 29300, 29014, 28552, 27917, 27132, 26227, 25244, 24229, 23227, 22276, 21407, 20642, 19989, 19448, 19009, 18657, 18372, 18136, 17930, 17740, 17558, 17378, 17199, 17024, 16856, 16700, 16556, 16427, 16309, 16200, 16093, 15983, 15862, 15728, 15576, 15409, 15228, 15039, 14849, 14664, 14492, 14338, 14203, 14088, 13988, 13899, 13813, 13721, 13617, 13494, 13349, 13183, 12997, 12798, 12595, 12395, 12210, 12046, 11911, 11808, 11736, 11694, 11675, 11672, 11678, 11683, 11681, 11668, 11641, 11602, 11555, 11506, 11463, 11434, 11428, 11452, 11510, 11606, 11739, 11907, 12106, 12329, 12569, 12820, 13075, 13329, 13578, 13821, 14056, 14285, 14510, 14734, 14961, 15194, 15436, 15691, 15961, 16246, 16546, 16862, 17191, 17528, 17871, 18214, 18549, 18871, 19173, 19449, 19693, 19901, 20071, 20205, 20306, 20379, 20431, 20472, 20512, 20558, 20619, 20697, 20796, 20910, 21034, 21156, 21266, 21348, 21389, 21379, 21310, 21179, 20990, 20751, 20476, 20181, 19887, 19613, 19376, 19189, 19058, 18984, 18959, 18969, 18996, 19018, 19011, 18956, 18838, 18647, 18384, 18056, 17679, 17275, 16870, 16491, 16163, 15904, 15727, 15635, 15620, 15666, 15749, 15841, 15912, 15933, 15881, 15741, 15509, 15188, 14795, 14353, 13891, 13442, 13036, 12697, 12444, 12284, 12213, 12218, 12277, 12359, 12434, 12470, 12441, 12329, 12126, 11833, 11463, 11040, 10593, 10155, 9757, 9430, 9195, 9064
tenorU257Atk, 0, 158, 553, 1158, 1924, 2791, 3691, 4560, 5342, 5995, 6499, 6855, 7083, 7225, 7334, 7469, 7688, 8043, 8569, 9284, 10184, 11246, 12425, 13669, 14915, 16101, 17172, 18088, 18824, 19377, 19762, 20013, 20174, 20301, 20445, 20656, 20970, 21406, 21969, 22641, 23393, 24179, 24949, 25652, 26241, 26681, 26950, 27044, 26975, 26771, 26470, 26119, 25765, 25453, 25216, 25078, 25045, 25111, 25254, 25443, 25639, 25803, 25898, 25896, 25778, 25539, 25187, 24743, 24236, 23702, 23178, 22699, 22294, 21982, 21771, 21659, 21631, 21665, 21733, 21805, 21854, 21855, 21794, 21662, 21464, 21209, 20917, 20611, 20315, 20052, 19843, 19701, 19631, 19632, 19696, 19806, 19945, 20091, 20225, 20330, 20393, 20407, 20371, 20290, 20172, 20030, 19877, 19727, 19591, 19477, 19390, 19329, 19291, 19269, 19253, 19233, 19199, 19141, 19054, 18933, 18776, 18585, 18363, 18116, 17849, 17568, 17279, 16987, 16695, 16406, 16120, 15837, 15558, 15281, 15005, 14730, 14454, 14179, 13902, 13625, 13348, 13069, 12790, 12511, 12231, 11952, 11676, 11404, 11140, 10888, 10653, 10440, 10254, 10098, 9977, 9892, 9843, 9829, 9846, 9890, 9954, 10033, 10123, 10217, 10316, 10417, 10524, 10641, 10773, 10928, 11112, 11332, 11594, 11899, 12247, 12636, 13059, 13509, 13976, 14449, 14919, 15378, 15820, 16241, 16642, 17025, 17397, 17763, 18133, 18514, 18912, 19332, 19775, 20238, 20717, 21203, 21686, 22155, 22599, 23009, 23376, 23697, 23970, 24197, 24383, 24537, 24667, 24783, 24894, 25006, 25124, 25249, 25379, 25510, 25633, 25739, 25819, 25864, 25866, 25821, 25725, 25581, 25394, 25170, 24919, 24652, 24378, 24108, 23850, 23606, 23381, 23171, 22973, 22780, 22584, 22376, 22149, 21897, 21614, 21302, 20960, 20596, 20216, 19830, 19448, 19081, 18737, 18423, 18144, 17901, 17691, 17509, 17348, 17198, 17052, 16900, 16735, 
tenorU257Rls, 0, 86, 402, 911, 1559, 2282, 3014, 3694, 4272, 4716, 5017, 5187, 5260, 5286, 5327, 5446, 5706, 6152, 6818, 7711, 8817, 10103, 11513, 12985, 14448, 15836, 17093, 18180, 19079, 19794, 20348, 20785, 21160, 21533, 21962, 22495, 23167, 23991, 24961, 26050, 27212, 28392, 29525, 30551, 31416, 32082, 32526, 32748, 32767, 32618, 32351, 32022, 31685, 31391, 31178, 31068, 31064, 31154, 31307, 31483, 31632, 31707, 31664, 31469, 31103, 30563, 29863, 29030, 28105, 27134, 26165, 25244, 24407, 23679, 23073, 22585, 22200, 21892, 21629, 21375, 21099, 20773, 20379, 19912, 19375, 18784, 18163, 17540, 16948, 16416, 15969, 15626, 15396, 15280, 15269, 15348, 15496, 15692, 15913, 16140, 16358, 16558, 16736, 16894, 17039, 17179, 17325, 17485, 17668, 17875, 18108, 18363, 18633, 18910, 19185, 19449, 19695, 19920, 20121, 20301, 20463, 20613, 20757, 20901, 21049, 21204, 21365, 21531, 21698, 21858, 22007, 22138, 22248, 22332, 22392, 22428, 22445, 22448, 22442, 22432, 22423, 22417, 22413, 22411, 22405, 22390, 22362, 22314, 22242, 22145, 22022, 21876, 21713, 21537, 21356, 21179, 21009, 20852, 20709, 20580, 20461, 20346, 20229, 20102, 19960, 19797, 19612, 19404, 19178, 18939, 18695, 18455, 18229, 18023, 17844, 17693, 17570, 17472, 17391, 17319, 17247, 17166, 17069, 16951, 16811, 16650, 16474, 16290, 16108, 15937, 15788, 15667, 15579, 15526, 15504, 15508, 15529, 15557, 15581, 15592, 15581, 15543, 15477, 15385, 15272, 15148, 15023, 14906, 14808, 14736, 14695, 14687, 14707, 14751, 14810, 14872, 14929, 14968, 14982, 14967, 14920, 14845, 14746, 14632, 14513, 14401, 14306, 14237, 14198, 14193, 14221, 14276, 14352, 14439, 14527, 14606, 14669, 14709, 14725, 14718, 14691, 14653, 14614, 14582, 14570, 14585, 14635, 14724, 14852, 15018, 15214, 15433, 15665, 15901, 16132, 16351, 16552
