add9th,1/1,5/4,4/3,9/4
subAdd9th,1/1,3/2,9/5,9/4
add9th1stInv,1/1,6/5,9/5,16/5
subAdd9th1stInv,1/1,6/5,7/5,8/3
add9th2ndInv,1/1,3/2,8/3,10/3
subAdd9th2ndInv,1/1,5/4,4/3,8/3
add9th3rdInv,1/1,16/9,20/9,24/9
subAdd9th3rdInv,1/1,9/5,8/3,16/5
sixthSusp4th,1/1,4/3,3/2,6/5
subSixthSusp4th,1/1,10/9,5/4,15/9
add2nd,1/1,9/8,5/4,3/2
subAdd2nd,1/1,6/5,4/3,3/2
sixthSusp4th2ndInv,1/1,10/9,4/3,16/9
subSixthSusp4th2ndInv,1/1,5/3,8/5,9/5
sixthSusp4th3rdInv,1/1,6/5,8/5,9/5
subSixthSusp4th3rdInv,1/1,9/8,3/2,9/5
